Question,Answer
What are aseptic bags used for ?,"Aseptic bags are used for storage and transportation at environmental temperature of concentrated juices or any natural product.  Additionally, these bags are designed for enhanced durability and efficiency."
Could you tell me more about the main features of aseptic bags ?,"Aseptic bags’ features are following. No microbial content because manufactured in clean room, food grade and beamed with gamma rays. Various Oxygen barriers are available. Additionally, these bags are designed for enhanced durability and efficiency."
Could you tell me more about the available bag sizes ?,"Sizes in liter are following: 3, 5, 10, 20, 50, 100, 220, 1000, 1200, 1500. Also full containers bags are available Additionally, these bags are designed for enhanced durability and efficiency."
What are available spouts and connectors \to enable bag’s liquid filling and discharge ?,"There is a large variety of connectors or spouts available to allow various liquid filling machinery to connect in automatic or semi-automatic way to the bags. Additionally, these bags are designed for enhanced durability and efficiency."
What are Flexbo’s products,"Flexbo relies on Italian technology for manufacturing state-of-the-art aseptic bags, Bag-In-Box (BIB), Industrial Bulk Containers (IBC) used for storage and transportation of liquids.  Additionally, these bags are designed for enhanced durability and efficiency."
What are the specific features of Flexbo’s aseptic bags ? ,"Flexbo manufactures aseptic bags using state-of-the-art technology. Quality control is both human-made and artificial intelligence assisted. Additionally, these bags are designed for enhanced durability and efficiency."
Can you explain what is Easysnap ?,"Easysnap is the name of the Italian manufacture that manufactures a patented-liquid-filling machine for mono-dose packaging that opens using just one-hand.  Additionally, these bags are designed for enhanced durability and efficiency."
Can we order liquid bags from Flexbo  and why?,"Flexbo serves customers worldwide through direct sales of full container or pallets. Additionally, these bags are designed for enhanced durability and efficiency."
Could you tell me how long is the delivery time ?,"Flexbo works just in time, but has a large production capacity full integrated. Depending on customer’s orders delivery time can change from 1 week to 1 month. Please provide your detailed requirements. Additionally, these bags are designed for enhanced durability and efficiency."
What are the available bag barriers ? ,"Standard, high and very high barrier are available to match all different customer’s requirements. Additionally, these bags are designed for enhanced durability and efficiency."
I need a pallet of 220 liter aseptic bags standard barrier.  Please inform delivery time and price.,"Standard barrier 220 liters bags can be ready for shipment within 1 week. Price is 2.5 USD per bag. Additionally, these bags are designed for enhanced durability and efficiency."
Could you tell me delivery time of a pallet of 220 liter aseptic bags high barrier.  Please inform also price.,"High barrier 220 liters bags can be ready for shipment within 1 week. Price is 2.9 USD per bag. Additionally, these bags are designed for enhanced durability and efficiency."
I need a pallet of 220 liter aseptic bags very high barrier.  Please inform delivery time and price. Please elaborate.,"Very high barrier 220 liters bags can be ready for shipment within  2 week. Price is 3.3 USD per bag. Additionally, these bags are designed for enhanced durability and efficiency."
I need a full container 20’ of 220 liter aseptic bags standard barrier.  Please inform delivery time and price.,"Standard barrier 220 liters bags can be ready for shipment within 2 weeks. Price is 2.35 USD per bag. Additionally, these bags are designed for enhanced durability and efficiency."
I need a full container 20’ of 220 liter aseptic bags high barrier.  Please inform delivery time and price.,"High barrier 220 liters bags can be ready for shipment within 2 weeks. Price is 2.6 USD per bag. Additionally, these bags are designed for enhanced durability and efficiency."
I need a full container 20’ of 220 liter aseptic bags very high barrier.  Please inform delivery time and price.,"Very high barrier 220 liters bags can be ready for shipment within  3 weeks. Price is 2.8 USD per bag. Additionally, these bags are designed for enhanced durability and efficiency."
What are aseptic bags used for  and why?,"Aseptic bags are used for storage and transportation at environmental temperature of concentrated juices or any natural product.  Additionally, these bags are designed for enhanced durability and efficiency."
Can you explain what are the main features of aseptic bags ?,"Aseptic bags’ features are following. No microbial content because manufactured in clean room, food grade and beamed with gamma rays. Various Oxygen barriers are available. Additionally, these bags are designed for enhanced durability and efficiency."
Can you explain what are the available bag sizes ?,"Sizes in liter are following: 3, 5, 10, 20, 50, 100, 220, 1000, 1200, 1500. Also full containers bags are available Additionally, these bags are designed for enhanced durability and efficiency."
What are spouts or connectors available to enable bag’s liquid filling and discharge ?,"There is a large variety of connectors or spouts available to allow various liquid filling machinery to connect in automatic or semi-automatic way to the bags. Additionally, these bags are designed for enhanced durability and efficiency."
What are Flexbo’s products,"Flexbo relies on Italian technology for manufacturing state-of-the-art aseptic bags, Bag-In-Box (BIB), Industrial Bulk Containers (IBC) used for storage and transportation of liquids.  Additionally, these bags are designed for enhanced durability and efficiency."
What are the specific features of Flexbo’s aseptic bags ?,"Flexbo manufactures aseptic bags using state-of-the-art technology. Quality control is both human-made and artificial intelligence assisted. Additionally, these bags are designed for enhanced durability and efficiency."
Do you have custom packaging solutions ?,"We can design, manufacture and deliver liquid bags customized on client’s requirements. For example shapes, size, logo label, sterilization process, spout type and so forth, the sky is the limit to creativity."
Could you tell me more about Can we order liquid bags from Flexbo ?,"Flexbo serves customers worldwide through direct sales of full container or pallets. Additionally, these bags are designed for enhanced durability and efficiency."
